trace,label,cause,evelabel
"allocate into batches of , invoice entered into sap system",normal,,[0 0]
"re sort vendors per client , invoice entered into sap system",normal,,[0 0]
"Procure materials , issue materials , produce products , test products , package products , dispose waste , stage products , release to deliver",normal,,[0 0 0 0 0 0 0 0]
"schedule production activities , issue materials , produce products , test products , package products , stage products , release to deliver , dispose waste",normal,,[0 0 0 0 0 0 0 0]
"schedule production activities , issue materials , produce products , test products , package products , dispose waste , stage products , release to deliver",normal,,[0 0 0 0 0 0 0 0]
"Procure materials , issue materials , produce products , test products , package products , stage products , dispose waste , release to deliver",normal,,[0 0 0 0 0 0 0 0]
"Procure materials , issue materials , produce products , test products , package products , stage products , release to deliver , dispose waste",normal,,[0 0 0 0 0 0 0 0]
"schedule production activities , issue materials , produce products , test products , package products , stage products , dispose waste , release to deliver",normal,,[0 0 0 0 0 0 0 0]
"Participant (BQ) , ConversationLink , Communication (BS) , ConversationLink , Participant (BR)",normal,,[0 0 0 0 0]
"Participant (BB) , ConversationLink , Communication (BD) , ConversationLink , Participant (BC)",normal,,[0 0 0 0 0]
"Participant (AV) , ConversationLink , Communication (AX) , ConversationLink , Participant (AW)",normal,,[0 0 0 0 0]
"Participant (BK) , ConversationLink , Communication (BM) , ConversationLink , Participant (BL)",normal,,[0 0 0 0 0]
"Participant (S) , ConversationLink , Communication (BG) , ConversationLink , Participant (T)",normal,,[0 0 0 0 0]
"Participant (CO) , ConversationLink , Communication (CQ) , ConversationLink , Participant (CP)",normal,,[0 0 0 0 0]
"sort invoice , attach entry form to invoice , enter invoice information , validate invoice , request invoice completion",normal,,[0 0 0 0 0]
"sort invoice , attach entry form to invoice , enter invoice information , validate invoice , check service level agreement sla , enter invoice process date , check if invoice delayed",normal,,[0 0 0 0 0 0 0]
"sort invoice , attach entry form to invoice , enter invoice information , validate invoice , check service level agreement sla , enter invoice process date , check if invoice delayed , stamp data entry form urgent",normal,,[0 0 0 0 0 0 0 0]
"sort invoice , attach entry form to invoice , enter invoice information , validate invoice , check service level agreement sla , check if invoice delayed , stamp data entry form urgent",normal,,[0 0 0 0 0 0 0]
"sort invoice , attach entry form to invoice , enter invoice information , validate invoice , check service level agreement sla , check if invoice delayed",normal,,[0 0 0 0 0 0]
"receive purchase order , send invoice , send shipment , receive payment",normal,,[0 0 0 0]
"check inventory level , create purchase order , reserve funds , send order to the supplier , receive invoice , record invoice , release reserve funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0]
"innovative solution offerings , strong financial position",normal,,[0 0]
"increase expertise , technological innovation , effective strategic positioning , increased desirability , strong financial position",normal,,[0 0 0 0 0]
"increase financial capability , technological innovation , effective strategic positioning , increased desirability , strong financial position",normal,,[0 0 0 0 0]
"check details , check for guests",normal,,[0 0]
"select option to create event , enter required details , invite guests , confirm details",normal,,[0 0 0 0]
"check details , check for guests , send invitation",normal,,[0 0 0]
"select option to create event , enter required details , confirm details",normal,,[0 0 0]
"epo priority application , pct application , pct regionalization",normal,,[0 0 0]
"Participant (LendingFactory Inc.) , ConversationLink , SubConversation (inquiry)",normal,,[0 0 0]
"Participant (Customer) , ConversationLink , SubConversation (inquiry)",normal,,[0 0 0]
"enter travellers details , passenger details , contact details , confirm details , click contiune",normal,,[0 0 0 0 0]
"enter travellers details , contact details , passenger details , confirm details , click contiune",normal,,[0 0 0 0 0]
"collect submission forms , review applications , reject application",normal,,[0 0 0]
"collect submission forms , review applications , approve application",normal,,[0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , search desired property , submit application form , review agreement contract , disagree with agreement contract",normal,,[0 0 0 0 0 0 0 0 0]
"collect submission forms , review applications , approve application , update agreement contract",normal,,[0 0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , review agreement contract , disagree with agreement contract",normal,,[0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , review agreement contract , disagree with agreement contract",normal,,[0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , search desired property , submit application form , review agreement contract , disagree with agreement contract",normal,,[0 0 0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , upload personal materials , fill in application form , search desired property , submit application form , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"register on rentool , fill in application form , upload personal materials , search desired property , submit application form , review agreement contract , agree with agreement contract , sign agreement contract , fill in credit card information , pay bond deposits , fill in credit card information , pay bond deposits , receive electronic receipt",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"select books from dropdown list , enter search text , click go",normal,,[0 0 0]
"publish job ad , gather letters of application , profile post screening",normal,,[0 0 0]
"checking request , book attraction",normal,,[0 0]
"Participant (P1) , ConversationLink , Communication (Conversation)",normal,,[0 0 0]
"ConversationLink , Participant (P2)",normal,,[0 0]
"transport freight , Deliver freight , notify delivery",normal,,[0 0 0]
"transport freight , notify delivery , Deliver freight , Handle damage claim",normal,,[0 0 0 0]
"organize shipment , Handle damage claim",normal,,[0 0]
"sign delivery notice , assess merchandise , pay merchandise",normal,,[0 0 0]
"transport freight , notify delivery , Deliver freight , Handle loss claim",normal,,[0 0 0 0]
"organize shipment , assess request for merchandise return , send acceptance , receive merchandise",normal,,[0 0 0 0]
"organize shipment , Invoice customer",normal,,[0 0]
"organize shipment , approve loss claim",normal,,[0 0]
"sign delivery notice , assess merchandise , lodge loss claim report , Handle loss claim",normal,,[0 0 0 0]
"transport freight , Deliver freight , notify delivery , Handle loss claim",normal,,[0 0 0 0]
"sign delivery notice , assess merchandise , lodge request for merchandise return , attempt suicide",normal,,[0 0 0 0]
"sign delivery notice , assess merchandise , glossary ced bac lodge damage claim report , Handle damage claim",normal,,[0 0 0 0]
"transport freight , Deliver freight , notify delivery , Handle damage claim",normal,,[0 0 0 0]
"organize shipment , assess request for merchandise return , send rejection",normal,,[0 0 0]
"transport freight , notify delivery , Deliver freight",normal,,[0 0 0]
"sign delivery notice , assess merchandise , lodge request for merchandise return , Return merchandise",normal,,[0 0 0 0]
"Sort Invoices , Confirm Pay Invoice",normal,,[0 0]
"scann offer , registrate offer",normal,,[0 0]
"registrate offer , scann offer",normal,,[0 0]
"Create Event Start Date/Time , create event name , create event description , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , set status to private , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , Create Location Information , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , Create End Date , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , do not allow guest list to be displayed , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , set status to public , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , allow guest list to be displayed , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , Add Event Photo , confirm event creation",normal,,[0 0 0 0]
"Create Event Start Date/Time , create event name , Create Guest List , confirm event creation",normal,,[0 0 0 0]
"Run Automated Payment Process , Generate Payment Reports",normal,,[0 0]
"select paper based invoices , track original invoice , send invoice",normal,,[0 0 0]
"select paper based invoices , sort by vendor , sort by date , archive",normal,,[0 0 0 0]
"create bill , send bill",normal,,[0 0]
"receive bill , send payment",normal,,[0 0]
"review purchase order , send rejection notice",normal,,[0 0]
"review purchase order , send confirmation notice , prepare shipment , send invoice , send delivery note , collect payment",normal,,[0 0 0 0 0 0]
"review purchase order , send confirmation notice , send delivery note , prepare shipment , send invoice , collect payment",normal,,[0 0 0 0 0 0]
"review purchase order , send confirmation notice , send invoice , prepare shipment , send delivery note , collect payment",normal,,[0 0 0 0 0 0]
"review purchase order , send confirmation notice , send invoice , send delivery note , prepare shipment , collect payment",normal,,[0 0 0 0 0 0]
"review purchase order , send confirmation notice , send delivery note , send invoice , prepare shipment , collect payment",normal,,[0 0 0 0 0 0]
"review purchase order , send confirmation notice , prepare shipment , send delivery note , send invoice , collect payment",normal,,[0 0 0 0 0 0]
"receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour",normal,,[0 0 0]
"receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour , check english results day min free",normal,,[0 0 0 0]
"receive documents by post weeks , check document completeness minutes , receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour , check english results day min free",normal,,[0 0 0 0 0 0]
"receive documents by post weeks , check document completeness minutes , receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour , check english results day min free , decision of acad commitee weeks hour , record decision into infosystem days minutes",normal,,[0 0 0 0 0 0 0 0]
"receive documents by post weeks , check document completeness minutes , receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour",normal,,[0 0 0 0 0]
"receive documents by post weeks , check document completeness minutes , send degrees for acad recogn weeks hour , check english results day min free , decision of acad commitee weeks hour , record decision into infosystem days minutes",normal,,[0 0 0 0 0 0]
"select country , agree to the terms and conditions , type in account information , hit next , enter in billing information , select done , check apple id email address , open the email , click verify now , enter apple id , enter password , select verify address , Password Check",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"select country , agree to the terms and conditions , type in account information , hit next , enter in billing information , select done , check apple id email address , contact itunes store support , receive email from itunes store support notifying of creation , click verify now , enter apple id , enter password , select verify address , Password Check",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"identify the established position , review position profile , verify position profile , update position profile , identify advertising medium , send for approvals , discuss with the manager adavertising reqirments",normal,,[0 0 0 0 0 0 0]
"identify the established position , review position profile , verify position profile , update position profile , identify advertising medium , send for approvals",normal,,[0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary aacd ab order accepted , funds are reserved , order sent to supplier , send packaging slip , glossary ed de bc bed send invoice , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary dbb ee cc cd ee order rejected , rework order , glossary be acd dd fde review order , glossary aacd ab order accepted , order sent to supplier , funds are reserved , send packaging slip , glossary ed de bc bed send invoice , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary aacd ab order accepted , funds are reserved , order sent to supplier , glossary ed de bc bed send invoice , send packaging slip , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary dbb ee cc cd ee order rejected , rework order , glossary be acd dd fde review order , glossary aacd ab order accepted , funds are reserved , order sent to supplier , send packaging slip , glossary ed de bc bed send invoice , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary aacd ab order accepted , order sent to supplier , funds are reserved , send packaging slip , glossary ed de bc bed send invoice , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary aacd ab order accepted , order sent to supplier , funds are reserved , glossary ed de bc bed send invoice , send packaging slip , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary dbb ee cc cd ee order rejected , rework order , glossary be acd dd fde review order , glossary aacd ab order accepted , funds are reserved , order sent to supplier , glossary ed de bc bed send invoice , send packaging slip , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"glossary caf dc be check inventory , glossary cf dfb ee create purchase order , glossary be acd dd fde review order , glossary dbb ee cc cd ee order rejected , rework order , glossary be acd dd fde review order , glossary aacd ab order accepted , order sent to supplier , funds are reserved , glossary ed de bc bed send invoice , send packaging slip , reserve funds released , payment issued",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0]
"ChoreographySubprocessCollapsed (CA) , ChoreographySubprocessExpanded (CC) , ChoreographyTask (CD) , ChoreographySubprocessCollapsed (AX) , ChoreographySubprocessCollapsed (AY) , ChoreographySubprocessExpanded (BB) , ChoreographySubprocessCollapsed (AZ) , ChoreographySubprocessCollapsed (BA) , ChoreographySubprocessExpanded (BD) , ChoreographySubprocessCollapsed (BG) , ChoreographyTask (BI) , ChoreographySubprocessCollapsed (BK) , ChoreographySubprocessExpanded (BL) , ChoreographySubprocessCollapsed (BM) , ChoreographySubprocessCollapsed (BN) , ChoreographyTask (BO) , ChoreographySubprocessCollapsed (BR) , ChoreographySubprocessCollapsed (BS) , ChoreographySubprocessExpanded (BT) , ChoreographyTask (BU) , ChoreographySubprocessCollapsed (BV) , ChoreographyTask (CK) , ChoreographyTask (CL) , ChoreographySubprocessCollapsed (CH)",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"review the claim , communicate with customer",normal,,[0 0]
"review the claim , review the claim , evaluate the claim , send rejection letter with explanation",normal,,[0 0 0 0]
"review the claim , review the claim , evaluate the claim , send payment",normal,,[0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , skip dessert , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , order salad , ask for tiramisu , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order salad , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , order glass of red wine , ask for tiramisu , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order glass of red wine , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , order glass of red wine , ask for tiramisu , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , skip dessert , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , skip dessert , order salad , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order tiramisu , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order tiramisu , order salad , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , order salad , ask for tiramisu , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order salad , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order salad , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order glass of red wine , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , order glass of red wine , ask for tiramisu , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , skip dessert , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order tiramisu , order glass of red wine , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , order glass of red wine , ask for tiramisu , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order glass of red wine , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order glass of red wine , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order glass of red wine , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order tiramisu , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order salad , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , order salad , ask for tiramisu , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order tiramisu , order glass of red wine , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , order salad , ask for tiramisu , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order glass of red wine , skip dessert , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order tiramisu , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order tiramisu , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order tiramisu , order salad , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , skip dessert , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order salad , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order glass of red wine , ask for tiramisu , order salad , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , skip dessert , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , skip dessert , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order glass of red wine , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , skip dessert , order glass of red wine , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order tiramisu , order salad , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , skip dessert , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order tiramisu , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order salad , order tiramisu , order glass of red wine , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order tiramisu , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , order salad , ask for tiramisu , order glass of red wine , order tiramisu , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , skip dessert , order salad , order glass of red wine , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order salad , order tiramisu , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , skip dessert , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , skip dessert , order glass of red wine , order salad , consume your dishes , ask for check , waiter was not nice , pay the bill",normal,,[0 0 0 0 0 0 0 0 0 0]
"ask for menu , check available dishes , ask for tiramisu , order glass of red wine , order salad , skip dessert , consume your dishes , ask for check , waiter was nice , pay bill and tip",normal,,[0 0 0 0 0 0 0 0 0 0]
"check account data , create account",normal,,[0 0]
"check account data , refuse account",normal,,[0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , receive order packing slip , record order invoice , record order packing slip , reserve purchase funds , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , reserve purchase funds , receive order packing slip , receive order invoice , record order invoice , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , reserve purchase funds , record order invoice , receive order packing slip , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order packing slip , receive order invoice , record order packing slip , record order invoice , reserve purchase funds , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , receive order packing slip , record order packing slip , reserve purchase funds , record order invoice , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , reject purchase order , rework purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , receive order packing slip , reserve purchase funds , record order packing slip , record order invoice , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , reject purchase order , rework purchase order , review purchase order , accept purchase order , send purchase order to supplier , reserve purchase funds , receive order invoice , receive order packing slip , record order invoice , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , reserve purchase funds , send purchase order to supplier , receive order packing slip , receive order invoice , record order packing slip , record order invoice , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , reserve purchase funds , send purchase order to supplier , receive order invoice , record order invoice , receive order packing slip , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , reserve purchase funds , receive order packing slip , record order packing slip , receive order invoice , record order invoice , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , reject purchase order , rework purchase order , review purchase order , accept purchase order , send purchase order to supplier , reserve purchase funds , receive order invoice , record order invoice , receive order packing slip , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , reserve purchase funds , send purchase order to supplier , receive order invoice , receive order packing slip , record order invoice , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , reserve purchase funds , receive order packing slip , record order invoice , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , reject purchase order , rework purchase order , review purchase order , accept purchase order , reserve purchase funds , send purchase order to supplier , receive order packing slip , receive order invoice , record order packing slip , record order invoice , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , reserve purchase funds , send purchase order to supplier , receive order packing slip , receive order invoice , record order invoice , record order packing slip , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
"check current inventory level , create purchase order , review purchase order , accept purchase order , send purchase order to supplier , receive order invoice , record order invoice , receive order packing slip , record order packing slip , reserve purchase funds , release funds , issue payment to supplier",normal,,[0 0 0 0 0 0 0 0 0 0 0 0]
